earnings_id,worker_id,work_date,employer_id,shift_type,hours_worked,gross_pay_cad,tips_cad,deductions_cad,net_pay_cad,paid_same_day,pay_method
EARN-00001,W-0001,2026-04-01,E-0001,day,5.7,173.28,0.0,8.86,164.42,1,payroll_card
EARN-00002,W-0001,2026-04-02,E-0001,evening,5.4,177.02,0.0,13.27,163.75,0,cheque
EARN-00003,W-0001,2026-04-03,E-0001,day,8.4,233.54,0.0,8.45,225.09,0,cheque
EARN-00004,W-0001,2026-04-05,E-0001,day,7.7,150.52,0.0,10.52,140.0,0,cheque
EARN-00005,W-0001,2026-04-06,E-0001,day,6.4,199.97,0.0,17.66,182.31,1,payroll_card
EARN-00006,W-0001,2026-04-07,E-0001,day,6.9,230.79,0.0,10.56,220.23,0,direct_deposit
EARN-00007,W-0001,2026-04-09,E-0001,evening,8.7,204.26,0.0,12.89,191.37,0,payroll_card
EARN-00008,W-0001,2026-04-10,E-0001,day,8.9,217.23,0.0,9.71,207.52,0,cash
EARN-00009,W-0001,2026-04-11,E-0001,evening,5.8,178.09,0.0,17.55,160.54,1,cheque
EARN-00010,W-0001,2026-04-13,E-0001,evening,8.5,200.43,0.0,14.89,185.54,0,direct_deposit
EARN-00011,W-0001,2026-04-14,E-0001,day,7.1,156.73,0.0,15.73,141.0,0,cash
EARN-00012,W-0001,2026-04-15,E-0001,day,8.7,227.25,0.0,13.94,213.31,0,direct_deposit
EARN-00013,W-0001,2026-04-21,E-0001,evening,8.4,201.13,0.0,16.83,184.3,1,cash
EARN-00014,W-0001,2026-04-23,E-0001,split,8.0,209.17,0.0,10.16,199.01,1,direct_deposit
EARN-00015,W-0001,2026-04-24,E-0001,day,6.0,205.88,0.0,18.94,186.94,0,cash
EARN-00016,W-0001,2026-04-26,E-0001,day,8.3,242.37,0.0,13.88,228.49,0,cash
EARN-00017,W-0001,2026-04-27,E-0001,day,5.3,164.55,0.0,18.55,146.0,1,direct_deposit
EARN-00018,W-0001,2026-04-30,E-0001,evening,6.6,179.43,0.0,14.7,164.73,0,cash
EARN-00019,W-0001,2026-05-01,E-0001,day,6.0,153.57,0.0,9.57,144.0,0,cheque
EARN-00020,W-0001,2026-05-04,E-0001,night,5.3,171.92,0.0,8.65,163.27,1,cheque
EARN-00021,W-0001,2026-05-06,E-0001,evening,6.7,147.51,0.0,9.51,138.0,0,cash
EARN-00022,W-0001,2026-05-07,E-0001,day,8.5,218.35,0.0,21.23,197.12,0,direct_deposit
EARN-00023,W-0001,2026-05-09,E-0001,day,5.7,193.14,0.0,9.11,184.03,0,cheque
EARN-00024,W-0001,2026-05-12,E-0001,day,7.5,213.08,0.0,17.59,195.49,1,cheque
EARN-00025,W-0001,2026-05-13,E-0001,day,9.1,248.17,0.0,12.17,236.0,0,direct_deposit
EARN-00026,W-0001,2026-05-15,E-0001,day,6.6,203.62,0.0,14.8,188.82,1,cash
EARN-00027,W-0001,2026-05-18,E-0001,day,6.1,195.2,0.0,20.14,175.06,0,cash
EARN-00028,W-0001,2026-05-19,E-0001,day,8.7,159.96,0.0,14.96,145.0,0,cash
EARN-00029,W-0001,2026-05-21,E-0001,day,9.1,207.53,0.0,10.67,196.86,0,payroll_card
EARN-00030,W-0001,2026-05-23,E-0001,day,7.8,206.7,0.0,21.9,184.8,1,cheque
EARN-00031,W-0001,2026-05-25,E-0001,evening,8.1,230.14,0.0,8.58,221.56,0,cash
EARN-00032,W-0001,2026-05-27,E-0001,day,6.6,222.39,0.0,17.2,205.19,1,cash
EARN-00033,W-0001,2026-05-29,E-0001,day,6.2,202.6,0.0,16.54,186.06,1,payroll_card
EARN-00034,W-0001,2026-05-30,E-0001,day,5.4,219.53,0.0,15.44,204.09,0,cheque
EARN-00035,W-0001,2026-06-02,E-0001,day,6.5,233.66,0.0,16.74,216.92,0,cash
EARN-00036,W-0001,2026-06-04,E-0001,evening,5.9,241.47,0.0,17.2,224.27,0,cheque
EARN-00037,W-0001,2026-06-05,E-0001,day,5.8,235.46,0.0,9.93,225.53,1,cash
EARN-00038,W-0001,2026-06-08,E-0001,evening,5.7,161.25,0.0,18.25,143.0,1,direct_deposit
EARN-00039,W-0001,2026-06-10,E-0001,evening,5.6,244.09,0.0,19.06,225.03,1,direct_deposit
EARN-00040,W-0001,2026-06-11,E-0001,day,7.3,199.85,0.0,13.6,186.25,0,cheque
EARN-00041,W-0001,2026-06-13,E-0001,split,9.3,160.95,0.0,13.95,147.0,1,cash
EARN-00042,W-0001,2026-06-16,E-0001,day,9.3,213.79,0.0,19.09,194.7,1,direct_deposit
EARN-00043,W-0001,2026-06-17,E-0001,split,6.4,215.58,0.0,13.18,202.4,1,payroll_card
EARN-00044,W-0001,2026-06-19,E-0001,evening,5.6,189.23,0.0,17.14,172.09,0,direct_deposit
EARN-00045,W-0001,2026-06-22,E-0001,day,6.3,204.1,0.0,20.29,183.81,0,direct_deposit
EARN-00046,W-0001,2026-06-23,E-0001,day,8.5,161.82,0.0,15.32,146.5,0,direct_deposit
EARN-00047,W-0001,2026-06-25,E-0001,night,6.0,155.44,0.0,13.44,142.0,0,payroll_card
EARN-00048,W-0001,2026-06-27,E-0001,evening,6.8,204.4,0.0,19.17,185.23,1,cheque
EARN-00049,W-0002,2026-04-01,E-0035,day,7.6,148.94,3.39,10.82,141.51,0,cheque
EARN-00050,W-0002,2026-04-02,E-0035,split,5.7,142.89,2.95,14.29,131.55,0,payroll_card
EARN-00051,W-0002,2026-04-06,E-0035,day,6.7,155.03,5.53,13.15,147.41,0,direct_deposit
EARN-00052,W-0002,2026-04-07,E-0035,split,8.2,148.05,5.36,14.32,139.09,0,payroll_card
