advance_id,worker_id,requested_at,amount_cad,fee_cad,status,repaid_at,repayment_source,reason_code
A-00001,W-0001,2026-04-13T18:22:00,34.59,1.99,repaid,2026-04-24T18:22:00,payroll,shortfall
A-00002,W-0001,2026-04-27T20:53:00,71.34,3.03,repaid,2026-05-03T20:53:00,payroll,bill_due
A-00003,W-0001,2026-04-30T19:10:00,117.03,4.97,repaid,2026-05-12T19:10:00,payroll,bill_due
A-00004,W-0060,2026-05-30T19:23:00,42.52,1.99,repaid,2026-06-10T19:23:00,bank,bill_due
A-00005,W-0164,2026-04-25T18:06:00,87.33,3.71,repaid,2026-05-03T18:06:00,next_advance,transport
A-00006,W-0137,2026-06-18T21:43:00,33.91,1.99,repaid,2026-06-20T21:43:00,next_advance,shortfall
A-00007,W-0178,2026-05-29T07:15:00,74.33,3.16,repaid,2026-06-04T07:15:00,payroll,other
A-00008,W-0169,2026-04-07T16:11:00,45.29,1.99,repaid,2026-04-17T16:11:00,next_advance,emergency
A-00009,W-0189,2026-04-23T21:15:00,51.89,2.21,repaid,2026-04-28T21:15:00,bank,bill_due
A-00010,W-0163,2026-04-16T13:05:00,55.69,2.37,repaid,2026-04-26T13:05:00,payroll,groceries
A-00011,W-0214,2026-06-16T15:22:00,51.58,0.0,repaid,2026-06-26T15:22:00,payroll,shortfall
A-00012,W-0087,2026-04-15T13:26:00,25.28,1.99,repaid,2026-04-25T13:26:00,bank,groceries
A-00013,W-0051,2026-04-05T19:30:00,36.43,1.99,repaid,2026-04-17T19:30:00,payroll,other
A-00014,W-0003,2026-06-09T22:33:00,27.5,1.99,repaid,2026-06-12T22:33:00,bank,shortfall
A-00015,W-0044,2026-06-27T10:02:00,53.24,2.26,repaid,2026-07-04T10:02:00,bank,emergency
A-00016,W-0027,2026-04-26T13:50:00,38.47,0.0,repaid,2026-05-02T13:50:00,next_advance,other
A-00017,W-0217,2026-06-25T22:35:00,55.28,2.35,repaid,2026-07-05T22:35:00,payroll,transport
A-00018,W-0079,2026-06-03T19:53:00,35.33,1.99,repaid,2026-06-08T19:53:00,next_advance,groceries
A-00019,W-0143,2026-06-14T11:19:00,48.83,2.08,repaid,2026-06-19T11:19:00,payroll,other
A-00020,W-0118,2026-04-14T18:44:00,35.64,1.99,repaid,2026-04-23T18:44:00,payroll,bill_due
A-00021,W-0176,2026-04-02T22:52:00,56.02,0.0,repaid,2026-04-14T22:52:00,bank,groceries
A-00022,W-0016,2026-04-28T15:00:00,51.69,2.2,outstanding,,,emergency
A-00023,W-0168,2026-06-06T19:48:00,66.59,2.83,outstanding,,,emergency
A-00024,W-0126,2026-06-10T08:46:00,58.93,2.5,cancelled,,,other
A-00025,W-0214,2026-04-30T07:30:00,25.65,1.99,repaid,2026-05-02T07:30:00,next_advance,bill_due
A-00026,W-0030,2026-05-18T21:55:00,83.52,3.55,cancelled,,,bill_due
A-00027,W-0053,2026-04-10T11:40:00,111.99,4.76,repaid,2026-04-15T11:40:00,next_advance,other
A-00028,W-0124,2026-04-07T08:13:00,50.28,2.14,outstanding,,,shortfall
