txn_id,worker_id,txn_ts,direction,amount_cad,category,merchant_type,channel,is_essential,running_balance_cad,notes
T-00001,W-0005,2026-04-01T07:08:00,debit,1918.42,housing,landlord,debit_card,1,4577.39,obligation_id=O-00662
T-00002,W-0010,2026-04-01T07:08:00,debit,1644.88,housing,landlord,debit_card,1,-670.55,obligation_id=O-00602
T-00003,W-0011,2026-04-01T07:08:00,debit,1535.59,housing,landlord,debit_card,1,1997.3,obligation_id=O-00319
T-00004,W-0092,2026-04-01T07:08:00,debit,2115.55,housing,landlord,debit_card,1,3090.69,obligation_id=O-00447
T-00005,W-0096,2026-04-01T07:08:00,debit,990.13,childcare,utility,debit_card,1,2223.06,obligation_id=O-00408
T-00006,W-0098,2026-04-01T07:08:00,debit,817.99,childcare,utility,debit_card,1,2577.07,obligation_id=O-00478
T-00007,W-0106,2026-04-01T07:08:00,debit,1014.03,childcare,utility,debit_card,1,1100.95,obligation_id=O-00169
T-00008,W-0119,2026-04-01T07:08:00,debit,2133.8,housing,landlord,debit_card,1,1378.43,obligation_id=O-00780
T-00009,W-0141,2026-04-01T07:08:00,debit,1473.59,housing,landlord,debit_card,1,3655.16,obligation_id=O-00548
T-00010,W-0165,2026-04-01T07:08:00,debit,81.58,phone,utility,debit_card,1,4287.11,obligation_id=O-00558
T-00011,W-0189,2026-04-01T07:08:00,debit,400.84,childcare,utility,debit_card,1,4870.49,obligation_id=O-00234
T-00012,W-0010,2026-04-01T07:09:00,debit,80.17,phone,utility,debit_card,1,-750.72,obligation_id=O-00743
T-00013,W-0030,2026-04-01T07:09:00,debit,908.7,childcare,utility,debit_card,1,4515.69,obligation_id=O-00147
T-00014,W-0038,2026-04-01T07:09:00,debit,72.33,phone,utility,debit_card,1,5419.3,obligation_id=O-00531
T-00015,W-0050,2026-04-01T07:09:00,debit,74.86,phone,utility,debit_card,1,5435.69,obligation_id=O-00027
T-00016,W-0050,2026-04-01T07:09:00,debit,1739.36,housing,landlord,debit_card,1,3696.33,obligation_id=O-00063
T-00017,W-0070,2026-04-01T07:09:00,debit,603.77,childcare,utility,debit_card,1,5638.54,obligation_id=O-00062
