worker_id,week_start,income_cad,expense_cad,essential_expense_cad,net_cashflow_cad,advances_count,advances_amount_cad,advance_fees_cad,ending_balance_cad,buffer_days_estimate,negative_balance_flag
W-0001,2026-03-30,693.26,2412.47,2330.48,-1719.21,0,0,0,4023.62,-20.24,0
W-0001,2026-04-06,961.97,178.76,89.62,783.21,0,0,0,4964.4,,0
W-0001,2026-04-13,539.85,195.79,0.0,344.06,1,34.59,1.99,5550.57,3.56,0
W-0001,2026-04-20,798.74,51.13,41.14,747.61,0,0,0,5882.75,-15.29,0
W-0001,2026-04-27,454.73,2248.34,2207.01,-1793.61,2,188.37,8.0,4692.94,197.07,0
W-0001,2026-05-04,682.42,407.99,249.9,274.43,0,0,0,4586.22,490.47,0
W-0001,2026-05-11,620.31,60.0,60.0,560.31,0,0,0,5527.68,49.29,0
W-0001,2026-05-18,701.72,187.25,124.8,514.47,0,0,0,6042.15,24.02,0
W-0001,2026-05-25,816.9,240.44,37.13,576.46,0,0,0,6414.52,659.65,0
W-0001,2026-06-01,666.72,2420.5,2372.41,-1753.78,0,0,0,4864.83,32.88,0
W-0001,2026-06-08,701.28,200.79,93.06,500.49,0,0,0,5179.07,666.06,0
W-0001,2026-06-15,569.19,275.5,168.94,293.69,0,0,0,5486.92,-27.07,0
W-0001,2026-06-22,657.54,255.85,64.49,401.69,0,0,0,6060.7,15.19,0
W-0001,2026-06-29,0,2578.93,2342.76,-2578.93,0,0,0,3481.77,553.03,0
W-0002,2026-03-30,273.06,1272.48,1126.16,-999.42,1,62.48,2.66,604.08,258.56,0
W-0002,2026-04-06,824.94,312.28,254.93,512.66,0,0,0,828.13,17.44,0
W-0002,2026-04-13,534.53,502.31,364.96,32.22,0,0,0,1145.62,651.71,0
W-0002,2026-04-20,565.83,370.99,327.81,194.84,0,0,0,1333.66,-45.19,0
W-0002,2026-04-27,772.76,1158.71,1128.51,-385.95,1,83.77,3.56,1013.47,753.72,0
W-0002,2026-05-04,621.58,545.62,456.62,75.96,0,0,0,1249.13,10061.16,0
W-0002,2026-05-11,281.92,262.17,164.68,19.75,0,0,0,1268.88,419.82,0
W-0002,2026-05-18,912.42,458.22,381.97,454.2,0,0,0,1275.78,119.36,0
W-0002,2026-05-25,660.89,388.15,121.2,272.74,0,0,0,1995.82,165.35,0
W-0002,2026-06-01,635.78,1473.66,1409.43,-837.88,0,0,0,1020.71,-31.19,0
W-0002,2026-06-08,617.16,289.99,186.85,327.17,0,0,0,1331.0,246.59,0
W-0002,2026-06-15,586.54,591.39,512.58,-4.85,0,0,0,1480.26,31.22,0
W-0002,2026-06-22,666.95,136.24,0.0,530.71,0,0,0,1868.86,190.96,0
W-0002,2026-06-29,321.1,1577.11,1523.63,-1256.01,0,0,0,754.96,364.67,0
W-0003,2026-03-30,516.44,133.52,0.0,382.92,0,0,0,2436.5,94.68,0
W-0003,2026-04-06,1165.82,372.56,158.86,793.26,0,0,0,2778.81,345.04,0
W-0003,2026-04-13,891.88,306.4,227.64,585.48,1,54.33,2.31,3668.36,,0
W-0003,2026-04-20,498.78,293.72,180.71,205.06,0,0,0,4051.81,-45.64,0
W-0003,2026-04-27,610.48,165.78,56.87,444.7,0,0,0,4682.11,-42.54,0
W-0003,2026-05-04,483.07,25.92,0.0,457.15,0,0,0,4992.55,629.38,0
W-0003,2026-05-11,701.02,177.64,43.81,523.38,0,0,0,5662.64,298.36,0
W-0003,2026-05-18,777.76,336.65,249.96,441.11,0,0,0,5778.23,-37.36,0
W-0003,2026-05-25,509.69,155.07,0.0,354.62,0,0,0,6288.28,-32.64,0
W-0003,2026-06-01,810.18,177.29,72.38,632.89,0,0,0,6783.3,791.26,0
W-0003,2026-06-08,974.27,176.09,0.0,798.18,1,27.5,1.99,7916.94,-43.7,0
W-0003,2026-06-15,628.88,235.36,173.49,393.52,0,0,0,8165.25,-17.77,0
W-0003,2026-06-22,648.69,63.25,0.0,585.44,0,0,0,8731.3,432.96,0
W-0003,2026-06-29,0,218.64,75.83,-218.64,1,59.71,0.0,8736.97,,0
W-0004,2026-03-30,345.51,177.74,63.84,167.77,0,0,0,5174.29,470.06,0
W-0004,2026-04-06,695.93,224.94,0.0,470.99,0,0,0,5650.2,-42.43,0
W-0004,2026-04-13,554.2,381.08,307.77,173.12,0,0,0,5989.67,272.06,0
W-0004,2026-04-20,757.25,306.05,178.89,451.2,0,0,0,6269.21,676.51,0
W-0004,2026-04-27,537.98,235.94,59.48,302.04,0,0,0,6742.91,1006.33,0
W-0004,2026-05-04,791.29,324.82,128.21,466.47,0,0,0,7209.38,405.99,0
W-0004,2026-05-11,662.44,431.31,177.96,231.13,0,0,0,7440.51,,0
W-0004,2026-05-18,835.53,318.43,132.07,517.1,0,0,0,7837.71,-33.9,0
W-0004,2026-05-25,831.0,265.47,196.77,565.53,0,0,0,8187.16,,0
W-0004,2026-06-01,478.17,77.35,0.0,400.82,0,0,0,8738.43,104.64,0
W-0004,2026-06-08,869.43,512.0,251.11,357.43,0,0,0,9089.53,,0
