worker_id,city,province,occupation,pay_type,typical_daily_net_cad,income_volatility,tip_share,household_size,dependents,has_bank_account,uses_prepaid_card,primary_employer_id,tenure_months,has_side_gig,commute_mode,rent_burden_band
W-0001,Calgary,AB,moving helper,daily,185.0,0.48,0.0,2,1,1,0,E-0001,14,0,transit,severe
W-0002,Calgary,AB,cleaner,daily,152.59,0.25,0.04,4,3,1,0,E-0035,31,0,car,high
W-0003,Fort McMurray,AB,restaurant cook,hourly,150.36,0.17,0.17,2,3,1,0,E-0004,31,0,rideshare,moderate
W-0004,Medicine Hat,AB,construction labourer,hourly,141.61,0.26,0.22,2,1,1,1,E-0026,25,0,transit,moderate
W-0005,Fort McMurray,AB,care aide,gig,110.35,0.31,0.01,4,1,1,0,E-0035,76,0,rideshare,high
W-0006,Fort McMurray,AB,cleaner,hourly,201.41,0.12,0.16,3,0,1,1,E-0034,46,0,bike,moderate
W-0007,Grande Prairie,AB,retail associate,daily,208.21,0.33,0.01,4,0,1,0,E-0008,9,0,bike,moderate
W-0008,Lethbridge,AB,rideshare driver,daily,214.96,0.37,0.02,3,3,1,1,E-0009,33,0,walk,low
W-0009,Calgary,AB,landscaper,gig,199.79,0.47,0.09,1,2,1,0,E-0025,25,0,walk,high
W-0010,Lethbridge,AB,delivery driver,gig,134.74,0.56,0.05,4,3,1,0,E-0033,55,0,bike,high
W-0011,Edmonton,AB,care aide,hourly,208.96,0.19,0.13,5,1,1,0,E-0022,79,1,walk,high
W-0012,Edmonton,AB,barista,hourly,156.78,0.28,0.19,4,1,1,0,E-0015,27,0,transit,severe
W-0013,Grande Prairie,AB,security guard,hourly,194.46,0.26,0.12,4,0,0,0,E-0008,83,1,rideshare,moderate
W-0014,Lethbridge,AB,warehouse associate,daily,219.69,0.19,0.03,5,2,1,0,E-0016,78,0,walk,moderate
W-0015,Red Deer,AB,rideshare driver,gig,181.36,0.56,0.21,5,2,1,0,E-0030,11,0,rideshare,moderate
W-0016,Red Deer,AB,restaurant cook,gig,178.0,0.55,0.21,3,3,1,0,E-0036,55,1,bike,severe
W-0017,Red Deer,AB,retail associate,hourly,141.92,0.43,0.23,4,0,1,0,E-0017,56,0,bike,low
W-0018,Calgary,AB,delivery driver,gig,124.55,0.25,0.05,2,2,1,0,E-0032,70,0,bike,low
W-0019,Lethbridge,AB,retail associate,daily,204.32,0.44,0.04,3,2,1,0,E-0004,77,0,car,high
W-0020,Medicine Hat,AB,moving helper,hourly,170.05,0.31,0.05,5,0,1,0,E-0028,51,0,walk,low
W-0021,Calgary,AB,moving helper,gig,186.93,0.57,0.05,5,1,0,1,E-0020,59,1,bike,moderate
W-0022,Medicine Hat,AB,security guard,gig,186.12,0.16,0.22,4,1,0,0,E-0028,48,0,transit,high
W-0023,Fort McMurray,AB,warehouse associate,gig,118.48,0.17,0.15,1,3,1,0,E-0011,75,0,bike,severe
W-0024,Lethbridge,AB,warehouse associate,gig,139.93,0.12,0.15,1,2,1,0,E-0025,5,1,bike,low
W-0025,Lethbridge,AB,restaurant cook,hourly,165.1,0.12,0.09,3,0,1,0,E-0015,56,0,car,high
W-0026,Grande Prairie,AB,moving helper,hourly,195.44,0.32,0.2,5,0,1,0,E-0010,60,0,rideshare,high
W-0027,Calgary,AB,retail associate,daily,157.11,0.39,0.01,5,3,1,0,E-0038,38,0,walk,moderate
W-0028,Calgary,AB,moving helper,daily,170.42,0.51,0.04,1,2,1,0,E-0001,71,0,walk,moderate
W-0029,Fort McMurray,AB,moving helper,hourly,203.18,0.38,0.06,3,2,1,0,E-0007,21,0,walk,low
W-0030,Medicine Hat,AB,moving helper,hourly,141.04,0.12,0.14,5,0,1,0,E-0023,72,0,walk,severe
W-0031,Grande Prairie,AB,retail associate,hourly,152.85,0.19,0.11,4,1,1,0,E-0036,48,0,rideshare,severe
W-0032,Red Deer,AB,retail associate,gig,157.53,0.11,0.08,4,1,1,0,E-0018,7,0,transit,high
W-0033,Edmonton,AB,construction labourer,daily,212.64,0.3,0.05,3,0,1,0,E-0010,6,0,walk,high
W-0034,Fort McMurray,AB,construction labourer,daily,191.84,0.11,0.01,1,1,1,0,E-0036,60,0,transit,low
W-0035,Grande Prairie,AB,delivery driver,gig,176.0,0.43,0.09,2,2,1,0,E-0040,71,0,transit,moderate
W-0036,Edmonton,AB,care aide,daily,159.94,0.18,0.04,3,3,0,0,E-0013,25,0,walk,high
W-0037,Grande Prairie,AB,retail associate,hourly,197.4,0.24,0.07,5,2,1,1,E-0004,49,0,rideshare,high
W-0038,Edmonton,AB,retail associate,hourly,141.72,0.17,0.13,2,3,1,0,E-0029,29,0,rideshare,low
W-0039,Fort McMurray,AB,landscaper,hourly,203.41,0.5,0.11,1,2,0,1,E-0025,53,1,walk,moderate
W-0040,Calgary,AB,barista,daily,194.42,0.55,0.01,3,1,1,0,E-0007,59,0,walk,severe
W-0041,Lethbridge,AB,delivery driver,hourly,142.46,0.19,0.17,4,3,1,1,E-0004,25,0,walk,moderate
W-0042,Edmonton,AB,retail associate,gig,136.24,0.29,0.01,4,2,1,0,E-0029,81,1,car,high
W-0043,Edmonton,AB,security guard,hourly,158.16,0.3,0.21,1,1,1,1,E-0033,84,0,walk,high
W-0044,Medicine Hat,AB,care aide,gig,184.23,0.58,0.03,1,0,1,0,E-0010,72,0,rideshare,severe
W-0045,Fort McMurray,AB,barista,hourly,192.11,0.3,0.18,3,2,1,0,E-0029,23,1,rideshare,high
W-0046,Medicine Hat,AB,warehouse associate,daily,224.38,0.41,0.05,3,0,1,0,E-0018,42,0,bike,high
W-0047,Fort McMurray,AB,care aide,daily,186.06,0.11,0.04,1,3,1,0,E-0008,10,0,transit,moderate
W-0048,Red Deer,AB,retail associate,hourly,189.04,0.15,0.17,5,2,1,0,E-0022,75,0,walk,high
W-0049,Medicine Hat,AB,security guard,daily,173.49,0.28,0.04,5,0,1,1,E-0030,49,1,rideshare,moderate
W-0050,Grande Prairie,AB,landscaper,daily,221.44,0.27,0.04,4,3,0,0,E-0008,50,1,walk,high
W-0051,Lethbridge,AB,rideshare driver,hourly,175.64,0.53,0.05,1,3,1,0,E-0014,56,0,walk,severe
W-0052,Grande Prairie,AB,security guard,daily,229.76,0.24,0.04,5,1,1,0,E-0027,71,0,transit,high
W-0053,Fort McMurray,AB,barista,hourly,157.58,0.17,0.1,1,1,1,0,E-0024,32,0,walk,moderate
W-0054,Calgary,AB,delivery driver,hourly,202.52,0.23,0.11,3,1,1,1,E-0018,54,1,transit,high
